До;После;
рi;р1;
связь вертиказьная;связь вертикальная;
свизь;связь;
фахварк;фахверк;
колонна';колонна;
мднтажный;монтажный;
эдемент;элемент;
монтажный элемент.;монтажный элемент;
прогон т;прогон;
элемент фахверка,;элемент фахверка;
колониа;колонна;
фасверка;фахверка;
проrон;прогон;
тя;тяж;+
фачверк;фахверк;
,;;
№;;
колонна v;колонна;
колонна 4;колонна;
элёмент;элемент;
вергикальная;вертикальная;
~ ;;
vсвязь;связь;
v связь;связь;
вертикал ьная;вертикальная;
горизонтальна;горизонтальная;+
копонна;колонна;
сеязь;связь;
nколонна;колонна;
ритель;ригель;
горизоитальная;горизонтальная;
v колонна;колонна;
v балка;балка;
v распорка;распорка;
#ИМЯ?;ригель;
u ригель;ригель;
v ригель;ригель;
v колонна;колонна;
балка.;балка;
n распорка;распорка;
и балка;балка;
l колонна;колонна;
горизоптальная;горизонтальная;
